27,Lonzo Ball,Nor,G,23.38,36,31.4,65.5,19.8,13.6,43,0.767,160,0.488,278,0.388,0.548,0.561,14.3,4.2,7.4,5.2,22.5,1.31,0.56,2,8.6,112.6,111.6
28,Mo Bamba,Orl,C,22.84,20,10.2,21.2,19.9,8.5,14,0.571,52,0.596,28,0.286,0.538,0.545,4.7,4.1,20.7,0.3,4,0.15,0.9,0.4,7,109.1,98.2
29,Desmond Bane,Mem,G,22.72,31,22.9,47.7,16.5,11.9,27,0.889,111,0.523,122,0.451,0.603,0.623,9.8,2.9,6.8,1.3,7.5,0.71,0.13,1.06,5.8,113.3,106.3
30,Harrison Barnes,Sac,F,28.79,35,35.7,74.4,17.7,9.8,164,0.823,249,0.562,149,0.376,0.563,0.62,16.7,6.2,9.6,3.5,13.4,0.77,0.17,1.46,8,124.1,118.8
31,RJ Barrett,Nyk,F-G,20.75,39,33.1,69,23.9,10.4,152,0.73,431,0.48,131,0.359,0.494,0.53,17.1,5.9,9.6,2.9,14.3,0.69,0.21,1.87,8,106.1,104.7
32,Will Barton,Den,G,30.19,35,30.1,62.7,18.6,13.2,52,0.75,217,0.479,149,0.403,0.53,0.549,12.2,4,7.5,3.1,14,0.83,0.4,1.69,7.1,106.8,111.5
33,Keita Bates-Diop,San,F,25.14,16,7.4,15.4,13.8,2.7,10,0.7,17,0.353,15,0.333,0.422,0.467,2.1,1.3,8.9,0.4,7.8,0.38,0.06,0.06,5.6,107.2,108.6
34,Nicolas Batum,Lac,G-F,32.25,37,28.8,60.1,11.8,9.8,36,0.833,80,0.55,162,0.432,0.616,0.636,8.9,4.7,9.1,2.3,10.5,1.19,0.35,0.76,6.4,128.4,108.9
35,Aron Baynes,Tor,C-F,34.26,36,19.7,41,16.2,12,24,0.75,148,0.507,77,0.26,0.467,0.484,6.3,5.6,15.6,1,7.3,0.31,0.42,0.89,6.7,101.8,103.3
36,Kent Bazemore,Gol,G-F,31.7,37,16.6,34.5,16.5,16.7,36,0.722,88,0.523,95,0.421,0.579,0.598,6.4,2.9,9.1,1.6,13.2,0.84,0.51,1.08,7.5,105.9,99.1
37,Darius Bazley,Okc,F-G,20.75,36,30.7,63.9,19.8,12.6,81,0.704,217,0.479,186,0.29,0.459,0.487,11.9,7.5,12.8,1.5,7.4,0.5,0.64,1.75,6.7,90.6,109.8
38,Bradley Beal,Was,G,27.71,34,35.5,73.9,35.4,10.5,281,0.9,568,0.539,231,0.329,0.526,0.592,32.1,5.3,7.8,4.6,24,1.38,0.44,3.18,10.4,113.7,110.9
39,Malik Beasley,Min,G,24.3,33,33.1,69,24.4,8.5,72,0.847,264,0.508,286,0.406,0.56,0.582,20.5,4.6,7.5,2.5,12.2,0.82,0.18,1.64,7.5,110.9,114.8
40,Jordan Bell,Was,F,26.18,3,16.6,34.6,15,16.7,0,0,13,0.385,2,0,0.333,0.333,3.3,5.3,16.9,1.7,13.3,0.33,1,1,7.5,83.5,107.9
41,DeAndre' Bembry,Tor,G-F,26.7,30,17.4,36.2,12.5,21.8,22,0.682,82,0.598,27,0.333,0.573,0.59,4.7,2.3,7.2,1.9,15.3,0.7,0.33,1.1,6.3,107.6,107.7
42,Davis Bertans,Was,F,28.34,32,25.4,53,16.5,6.2,68,0.853,32,0.438,241,0.382,0.557,0.598,11.3,3.1,6.3,0.9,4.7,0.63,0.22,0.63,5,115.9,109
43,Patrick Beverley,Lac,G,32.67,29,23.8,49.5,14.4,12,39,0.795,62,0.484,119,0.42,0.58,0.608,8.3,3.7,8.7,2.1,11.5,0.86,0.79,0.93,6.7,121.4,101.4
